epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2286.03,1.07147,0.53168,0.00411,0.93477,0.85116,0.92562,0.59039,1.33642,0.59851,0.00524,0.00199943,0.000666478,0.00199943,0.000666478,0.00199943,0.000666478,0.00199943,0.000666478
2,4061.64,1.05785,0.52318,0.00408,0.93792,0.853,0.91967,0.58615,1.33667,0.60791,0.00524,0.00386745,0.00128915,0.00386745,0.00128915,0.00386745,0.00128915,0.00386745,0.00128915
2,2025.58,1.06991,0.52922,0.00411,0.92961,0.86283,0.92286,0.60079,1.3168,0.58701,0.00556,0.00386748,0.00128916,0.00386748,0.00128916,0.00386748,0.00128916,0.00386748,0.00128916
3,3937.24,1.06355,0.52914,0.00412,0.92649,0.86649,0.92568,0.59237,1.31188,0.58862,0.00543,0.0056035,0.00186783,0.0056035,0.00186783,0.0056035,0.00186783,0.0056035,0.00186783
4,5795.48,1.07418,0.53617,0.0042,0.93483,0.87101,0.92442,0.58466,1.32812,0.60145,0.00564,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
5,7609.41,1.05113,0.51957,0.00406,0.93737,0.87941,0.93213,0.60902,1.29943,0.59203,0.00542,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736
6,9442.71,1.03613,0.5139,0.00409,0.93553,0.87179,0.92561,0.59308,1.31931,0.57601,0.00556,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167
7,11308.3,1.01983,0.50485,0.00401,0.94173,0.86653,0.92946,0.6101,1.28239,0.59192,0.00535,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
8,13181.5,1.01554,0.51074,0.00392,0.94297,0.868,0.93085,0.6032,1.28379,0.57988,0.0053,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538
9,14989.5,0.99698,0.49403,0.00386,0.94315,0.87231,0.9336,0.60646,1.26063,0.57491,0.00524,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
