epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1563.47,1.62931,2.23598,0.00809,0.86554,0.72526,0.76816,0.49321,1.48705,1.43744,0.00736,0.00199882,0.000666275,0.00199882,0.000666275,0.00199882,0.000666275,0.00199882,0.000666275
2,2695.87,1.38139,1.43474,0.00662,0.88916,0.73923,0.79168,0.5219,1.42294,1.2696,0.00698,0.00380088,0.00126696,0.00380088,0.00126696,0.00380088,0.00126696,0.00380088,0.00126696
3,3739.27,1.28851,1.37021,0.00614,0.91481,0.71502,0.78936,0.51764,1.37195,1.23637,0.00659,0.00540494,0.00180165,0.00540494,0.00180165,0.00540494,0.00180165,0.00540494,0.00180165
4,4752.86,1.2236,1.30013,0.00578,0.8972,0.7596,0.81069,0.59269,1.18277,1.14919,0.00581,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
5,5772.41,1.16533,1.27629,0.00537,0.87771,0.78157,0.82083,0.60226,1.16936,1.1141,0.00576,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
6,6787.69,1.14734,1.25564,0.00529,0.89336,0.77198,0.81527,0.57563,1.18899,1.12339,0.00576,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
7,7683.74,1.10846,1.22543,0.00505,0.90454,0.74744,0.80991,0.55096,1.32657,1.09576,0.00642,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
8,8583.31,1.07949,1.20375,0.00489,0.87015,0.77762,0.82139,0.57889,1.19339,1.07609,0.00572,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
9,9498.99,1.05508,1.16429,0.00486,0.90481,0.77863,0.82763,0.5794,1.2767,1.03371,0.0062,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
10,10493.8,1.0553,1.19423,0.00477,0.89241,0.7901,0.83603,0.60739,1.1627,1.05084,0.0056,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
11,1018.63,0.79518,0.82559,0.00411,0.91705,0.77816,0.83337,0.64626,0.99853,0.9768,0.00484,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
12,2084.02,0.78006,0.84509,0.00405,0.89749,0.77474,0.83087,0.64287,1.02868,0.96303,0.00493,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
13,3142.52,0.78583,0.8435,0.00405,0.92341,0.77474,0.83864,0.64281,1.0522,0.94477,0.00505,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
14,4204.25,0.75459,0.81812,0.00388,0.93551,0.76737,0.84545,0.66264,0.99984,0.92297,0.0048,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
15,5255.92,0.74558,0.7972,0.00384,0.92342,0.79693,0.84809,0.66462,1.02179,0.92681,0.00494,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
16,6217.06,0.73322,0.78645,0.00375,0.92931,0.77986,0.84461,0.68043,0.95669,0.90013,0.00462,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
