epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1433.38,1.24882,2.10735,0.00422,0.92663,0.7759,0.8446,0.66116,1.33861,1.8943,0.00478,0.00199906,0.000666353,0.00199906,0.000666353,0.00199906,0.000666353,0.00199906,0.000666353
2,2453.02,1.21896,2.02461,0.0041,0.93305,0.76962,0.84471,0.63787,1.41989,1.89201,0.00509,0.0038407,0.00128023,0.0038407,0.00128023,0.0038407,0.00128023,0.0038407,0.00128023
3,3408.87,1.22907,1.96844,0.00414,0.91152,0.77816,0.83481,0.63369,1.39555,2.00798,0.00499,0.00552393,0.00184131,0.00552393,0.00184131,0.00552393,0.00184131,0.00552393,0.00184131
4,4350.1,1.27419,2.05926,0.00428,0.89159,0.77133,0.82976,0.57367,1.58359,2.02546,0.00558,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
5,5297.33,1.2862,2.17448,0.00431,0.9095,0.77645,0.83909,0.61872,1.45465,2.00014,0.00526,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
6,6244.24,1.27151,2.06709,0.00422,0.89882,0.78157,0.8372,0.63805,1.39518,1.96379,0.00501,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
7,7246.34,1.2511,2.03699,0.00423,0.93444,0.75402,0.83576,0.60682,1.49059,1.97733,0.00532,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
8,8198.03,1.21585,2.03138,0.00416,0.91311,0.78498,0.8462,0.6309,1.44189,1.85531,0.00507,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
9,9129.25,1.20346,2.03902,0.00396,0.92634,0.77254,0.84383,0.66781,1.24781,1.85795,0.00448,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
10,10074.4,1.2106,1.9259,0.00399,0.91981,0.78298,0.8457,0.64181,1.34121,1.79342,0.00471,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
11,11015.3,1.16955,1.89936,0.00395,0.9257,0.78662,0.84568,0.63539,1.3818,1.89916,0.00493,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
12,11956.9,1.19921,1.91237,0.00396,0.91983,0.78322,0.84497,0.66764,1.25455,1.7957,0.00443,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
13,12902.7,1.17444,1.83409,0.00393,0.9243,0.79176,0.85105,0.66312,1.27661,1.7626,0.00451,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
14,13846.3,1.15508,1.89281,0.00384,0.91666,0.78833,0.85281,0.64708,1.35827,1.78227,0.00477,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
15,14791.7,1.13665,1.8386,0.00377,0.90906,0.80887,0.85584,0.63054,1.43328,1.86972,0.00501,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
16,15707.4,0.95778,1.4635,0.0037,0.93628,0.76962,0.84207,0.61985,1.42939,1.90983,0.00509,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
17,16623.4,0.95286,1.48158,0.00365,0.89344,0.79181,0.84957,0.6395,1.36309,1.80672,0.00482,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
18,17539,0.94371,1.46349,0.00353,0.92941,0.77645,0.85197,0.63251,1.40277,1.73877,0.00493,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
