iteration,seed,photos,server_detections,true_positives,false_positives,missed_detections,person_found,first_tp_photo,first_tp_dist_m,sweep_completion_pct,duration_sec,ragdoll_pos,notes
0,97747,85,2,1,1,0,1,85,15.5,75.0,25.3,"(-19.2, 14.2, 31.9)",""
1,192999,52,1,1,0,0,1,52,11.4,41.7,15.0,"(12.8, 9.4, -0.2)",""
2,412308,85,1,1,0,0,1,85,15.2,75.0,24.5,"(-6.6, 0.3, 19.8)",""
3,571376,37,1,1,0,0,1,37,16.8,33.3,11.8,"(-32.7, 1.6, -4.4)",""
4,813273,60,1,1,0,0,1,60,12.1,58.3,18.3,"(26.6, 9.5, 5.1)",""
5,804671,11,1,1,0,0,1,11,21.1,8.3,5.1,"(16.0, 1.6, -30.5)",""
6,40601,63,1,1,0,0,1,63,16.4,58.3,18.8,"(16.2, 7.3, 9.3)",""
7,982597,36,1,1,0,0,1,36,9.1,25.0,11.8,"(-29.8, 6.1, -24.5)",""
8,517095,21,1,1,0,0,1,21,16.1,16.7,8.8,"(30.1, 11.7, -23.0)",""
9,910058,26,1,1,0,1,1,26,17.3,25.0,9.3,"(8.5, -5.1, -22.5)",""
10,772057,66,2,1,1,0,1,66,18.2,58.3,20.8,"(3.2, 7.0, 5.7)",""
11,647739,79,1,1,0,0,1,79,21.3,66.7,23.2,"(-28.4, 8.6, 31.3)",""
12,435562,23,1,1,0,0,1,23,9.4,25.0,8.2,"(19.7, 3.0, -16.6)",""
13,896355,30,1,1,0,0,1,30,18.6,25.0,13.2,"(-17.6, -4.3, -18.9)",""
14,835756,43,1,1,0,0,1,43,29.3,41.7,14.5,"(-9.1, -1.2, 2.2)",""
15,319878,58,2,1,1,0,1,58,34.2,50.0,18.3,"(27.3, -2.0, 19.5)",""
16,563650,27,1,1,0,0,1,27,19.2,25.0,9.4,"(1.1, 5.1, -13.1)",""
17,403125,20,1,1,0,0,1,20,13.5,16.7,8.3,"(32.7, 1.5, -19.7)",""
18,988480,72,1,1,0,2,1,72,24.4,58.3,21.2,"(-21.0, -6.0, 15.6)",""
19,833423,44,2,1,1,0,1,44,24.5,41.7,15.2,"(-11.8, -1.7, 2.6)",""
20,504826,37,1,1,0,0,1,37,25.2,33.3,11.6,"(-22.7, -0.7, -5.6)",""
21,992496,7,1,1,0,0,1,7,20.7,8.3,4.3,"(-9.0, 6.4, -25.4)",""
22,398925,34,1,1,0,0,1,34,18.2,25.0,12.0,"(-31.9, -2.2, -23.7)",""
23,297911,83,1,1,0,0,1,83,11.8,75.0,24.1,"(-17.9, 6.8, 30.7)",""
24,772824,54,3,1,2,0,1,54,23.4,41.7,18.8,"(24.3, -2.8, 2.0)",""
25,886903,87,2,1,1,0,1,87,19.0,75.0,26.0,"(3.1, 3.8, 25.6)",""
26,591517,14,6,1,5,0,1,14,13.2,8.3,6.0,"(21.6, 8.8, -27.7)",""
27,825144,44,4,1,3,0,1,44,21.7,41.7,13.7,"(-15.2, 0.0, 3.4)",""
28,627945,1,1,1,0,0,1,1,18.3,8.3,4.1,"(-26.6, -3.5, -30.0)",""
29,23426,92,1,1,0,0,1,92,10.3,75.0,27.0,"(27.2, 12.5, 26.8)",""
30,485278,86,2,1,1,0,1,86,16.1,75.0,26.9,"(2.8, 6.9, 20.6)",""
31,856512,88,1,1,0,0,1,88,14.0,75.0,25.7,"(8.5, 10.1, 25.3)",""
32,771263,8,1,1,0,0,1,8,16.7,8.3,4.5,"(0.1, 6.0, -33.4)",""
33,751986,82,1,1,0,0,1,82,14.9,75.0,24.8,"(-21.8, -1.5, 21.5)",""
34,407046,12,1,1,0,0,1,12,13.0,8.3,5.5,"(17.4, 13.2, -33.1)",""
35,133270,33,1,1,0,0,1,33,17.1,25.0,11.8,"(-23.5, 2.6, -10.7)",""
36,701053,88,1,1,0,0,1,88,26.3,75.0,26.6,"(1.3, 1.5, 27.2)",""
37,531655,96,2,1,1,0,1,96,20.1,75.0,29.7,"(30.6, 15.6, 30.4)",""
38,794212,51,1,1,0,2,1,51,13.9,41.7,17.3,"(10.0, 3.6, -0.7)",""
39,710667,53,2,2,0,0,1,53,23.2,41.7,16.7,"(28.2, -3.8, 3.8)",""
40,347939,89,1,1,0,0,1,89,17.5,75.0,25.9,"(10.1, -1.0, 19.3)",""
41,62020,48,1,1,0,0,1,48,17.7,41.7,15.9,"(1.2, 4.4, -1.4)",""
42,529950,114,1,0,1,0,0,-1,-1.0,100.0,33.2,"(-30.8, 11.1, 2.2)",""
43,221509,88,9,1,8,0,1,88,16.6,75.0,25.8,"(-2.1, 1.7, 20.8)",""
44,520847,4,1,1,0,0,1,4,30.6,8.3,3.5,"(-25.9, -4.0, -19.8)",""
45,237869,6,1,1,0,0,1,6,20.8,8.3,4.2,"(-5.2, -2.7, -27.0)",""
46,936991,51,1,1,0,0,1,51,14.5,41.7,16.5,"(17.0, 7.9, -4.2)",""
47,187850,51,1,1,0,2,1,51,23.4,41.7,17.7,"(-2.2, 4.1, 1.3)",""
48,688111,86,1,1,0,0,1,86,17.1,75.0,25.4,"(-5.2, 6.5, 31.9)",""
49,914441,60,1,1,0,0,1,60,25.1,50.0,21.5,"(20.5, 11.4, 26.7)","| SETTLE_TIMEOUT"
